# Crystal metadata
# name: LaB6
# cell: a=4.156900, b=4.156900, c=4.156900, alpha=90.000000, beta=90.000000, gamma=90.000000
# volume: 71.830474
# wavelength: 1.541800 A; twotheta_range: [5.000000, 149.980000] step=0.020000
# profile: pseudo-voigt; eta=0.5; thetam_deg=0.0
# caglioti: U=0.00025, V=-0.000175, W=0.0001; scale=1.0
# intensity: units=arbitrary, normalized=True, intensity_max_value=100.0, intensity_min=1e-06
# multiplicity_mode: metric; metric_rtol=1e-07, metric_atol=1e-12
# spacegroup_ops: 48; atoms_input=7; atoms_full=7
# atoms (element, x, y, z, occ, Biso)
#   La, 0.000000, 0.000000, 0.000000, 1.000000, 0.400000
#   B, 0.201900, 0.500000, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.201900, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.500000, 0.201900, 1.000000, 0.500000
#   B, 0.798100, 0.500000, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.798100, 0.500000, 1.000000, 0.500000
#   B, 0.500000, 0.500000, 0.798100, 1.000000, 0.500000
#
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    n | hkl       |         d |   twotheta |   mult |         l |         f |         p |              F |            F^2 |   intensity |
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
|    1 | 1 0 0     |     4.157 |     21.375 |      6 |    29.590 |     3.752 |     0.934 |         37.577 |       1412.023 |      30.057 |
|    2 | 1 1 0     |     2.939 |     30.409 |     12 |    15.066 |     3.046 |     0.872 |         49.072 |       2408.018 |      48.747 |
|    3 | 1 1 1     |     2.400 |     37.472 |      8 |    10.235 |     2.614 |     0.815 |         48.479 |       2350.246 |      20.140 |
|    4 | 2 0 0     |     2.078 |     43.542 |      6 |     7.827 |     2.333 |     0.763 |         47.002 |       2209.178 |      10.163 |
|    5 | 2 1 0     |     1.859 |     48.998 |     24 |     6.391 |     2.141 |     0.715 |         40.264 |       1621.186 |      22.840 |
|    6 | 2 1 1     |     1.697 |     54.035 |     24 |     5.440 |     2.004 |     0.672 |         32.691 |       1068.721 |      12.050 |
|    7 | 2 2 0     |     1.470 |     63.274 |     12 |     4.269 |     1.827 |     0.601 |         33.215 |       1103.222 |       4.363 |
|    8 | 2 2 2     |     1.200 |     79.945 |      8 |     3.162 |     1.649 |     0.515 |         23.982 |        575.145 |       0.963 |
|    9 | 3 0 0     |     1.386 |     67.608 |     30 |     3.888 |     1.768 |     0.573 |         25.071 |        628.571 |       5.391 |
|   10 | 3 1 0     |     1.315 |     71.811 |     24 |     3.590 |     1.721 |     0.549 |         38.042 |       1447.185 |       8.786 |
|   11 | 3 1 1     |     1.253 |     75.914 |     24 |     3.352 |     1.682 |     0.530 |         31.729 |       1006.699 |       5.509 |
|   12 | 3 2 0     |     1.153 |     83.926 |     24 |     3.008 |     1.621 |     0.506 |         27.783 |        771.888 |       3.618 |
|   13 | 3 2 1     |     1.111 |     87.878 |     48 |     2.884 |     1.596 |     0.501 |         28.901 |        835.292 |       7.436 |
|   14 | 3 3 1     |     0.954 |    107.872 |     24 |     2.600 |     1.497 |     0.547 |         23.252 |        540.668 |       2.370 |
|   15 | 3 3 2     |     0.886 |    120.880 |     24 |     2.679 |     1.447 |     0.632 |         26.806 |        718.584 |       3.748 |
|   16 | 4 0 0     |     1.039 |     95.770 |      6 |     2.710 |     1.553 |     0.505 |         34.964 |       1222.502 |       1.289 |
|   17 | 4 1 0     |     1.008 |     99.749 |     48 |     2.654 |     1.533 |     0.514 |         24.935 |        621.765 |       5.232 |
|   18 | 4 1 1     |     0.980 |    103.775 |     36 |     2.617 |     1.515 |     0.528 |         26.537 |        704.222 |       4.502 |
|   19 | 4 2 0     |     0.930 |    112.066 |     24 |     2.602 |     1.480 |     0.571 |         27.378 |        749.542 |       3.430 |
|   20 | 4 2 1     |     0.907 |    116.389 |     48 |     2.627 |     1.463 |     0.599 |         27.399 |        750.729 |       7.280 |
|   21 | 4 2 2     |     0.849 |    130.603 |     24 |     2.899 |     1.415 |     0.712 |         20.892 |        436.480 |       2.777 |
|   22 | 4 3 0     |     0.831 |    136.021 |     30 |     3.106 |     1.400 |     0.759 |         21.160 |        447.729 |       4.066 |
|   23 | 5 1 0     |     0.815 |    142.035 |     72 |     3.438 |     1.385 |     0.811 |         22.374 |        500.583 |      12.903 |
|   24 | 5 1 1     |     0.800 |    149.000 |     32 |     4.030 |     1.370 |     0.867 |         26.213 |        687.109 |       9.870 |
|   25 | 4 3 2     |     0.772 |    174.117 |     72 |    19.539 |     1.341 |     0.995 |         23.588 |        556.400 |     100.000 |
+------+-----------+-----------+------------+--------+-----------+-----------+-----------+----------------+----------------+-------------+
